post_id,created_at,user_name,text,qwen_label
5178104533484434,Mon Jun 16 10:09:48 +0800 2025,番茄火锅真难吃,一旦染上看牙，在医院的浓度就将会高的害怕去完了市口来省口，骑共享单车也能被追尾的地步南京·江苏省口腔医院,投诉
5109998472662473,Tue Dec 10 11:40:38 +0800 2024,传新_H,廣州地鐵要市民預留時間去搭乘地鐵！看著實在可笑，市民在市內出行，一個就是便利快捷！如果搭乘地鐵，也要想坐飛機一樣的留出安檢時間，哪裡還有便利快捷呢？還不如告知市民直接騎共享單車或乘坐出租車！關鍵問題是為什麼會有這麼危險的事情發生在地鐵，要從問題的根本上找原因！才能杜絕這種事發生。,投诉
5179723480830948,Fri Jun 20 21:22:55 +0800 2025,地铁客流及运输研究阿牛,#深圳地铁#深圳地铁5号线临海站贴出通告，自2025.6.20日至7月10日，B2口出入口关闭施工，去#深圳欢乐港湾#及#湾区之光摩天轮#建议改去宝华站。,咨询
4936918875245250,Sun Aug 20 21:04:06 +0800 2023,现代快报,#现代快报快快帮##建成五年的小区门口没公交#【小区门口没有公交出行不便，南京公交：拟开通微循环线路】近日，家住南京丁家庄片区凤梧园的余先生致电现代快报96060热线反映，小区内居住的老人较多，但周边没有公交线经过，乘坐公交和地铁都较为不便，希望小区周边能开通一条公交线路方便大家出行。现 ...全文,求助
5181424895792242,Wed Jun 25 14:03:44 +0800 2025,闪电-9号,6月17日下午从浦东机场打车到全季酒店上海新天地店 费用186 当时打印机没墨 司机答应后续补一张 用跑腿给我送过来 至今没有收到 司机微信也不回复投诉了 由于不知道出租车公司 司机名字 电话 只有转账记录 没法受理没小票报销不了 认倒霉大家引以为戒,投诉
5181447343702447,Wed Jun 25 15:32:55 +0800 2025,无声荒岛zyj,人生中第一张交通违法罚单出现在了南京。打的出租车，后排入座没系安全带下高速时被交警看到了，敲窗示意车辆靠边。接着被安全教育，第一次犯所以没有罚款只是警告虽然是真的严格，但也真的规范，为南京交警的严格执行、人性化落实点赞，以后坚决记住了。都是小事，但细节更能反映出一个城市的 ...全文,正面反馈
5167073984252137,Fri May 16 23:38:20 +0800 2025,体说_,南京 江心洲15公里环岛骑行路线新手 友好周末想要逃离城市的喧器，却又不想出南京 推荐春天一定要来江心洲环岛骑行，解锁城市中 的自然秘境。这条骑行路线全长15公里，沿途风 景超美，江风拂面，新手也能轻松拿下【骑行注意事项】记得佩戴头盔，保持中低速骑行，遵守交通规 则。江边风大， ...全文,正面反馈
5179927911205225,Sat Jun 21 10:55:15 +0800 2025,小白假厉害,可恶 日本和泰国的出租车都是香香的 回南京打个车像钻了老男人被窝 受不了了 要吐了,投诉
5166254994490968,Wed May 14 17:23:58 +0800 2025,福州城市建设迷,厦门网友：免费可拉到，平常都挤得要死，免费了你会发现早晚高峰老头老太跟你挤，以前他们只挤公交，地铁免费了你看他们挤不挤你。,投诉
5163734533672833,Wed May 07 18:28:33 +0800 2025,-Rachel_秋,深圳臭车有没有完？？？无论出租车还是网约车，已经到了100%臭车的程度了，有没有人管管啊救！,投诉
