post_id,created_at,user_name,text,qwen_label
5177584981639227,Sat Jun 14 23:45:16 +0800 2025,大望鹿,#用音频给生活转个场##声浪观测站#从高中时爸爸送我的第一辆捷安特开始，我就喜欢上了骑行。但那个时候我并没有把骑车当成一种运动。直到大学毕业后来到北京工作生活，越来越大的体重和体验报告上各种预警指标跳跃，我才意识到自己该运动了。自然地，我选择了熟悉的自行车。除了上下班通勤，我还用Q ...全文,正面反馈
5177528291166468,Sat Jun 14 20:00:01 +0800 2025,老殁,这个博主的文案没有一个废字并且十分精准的描述展示了她眼中的北京。老殁的微博视频,其他
5177507699491745,Sat Jun 14 18:38:12 +0800 2025,透明之石,6月8日，高考第二天📝🙎🏻♂️少年挑战赛 ，第一季共享单车，🚴骑行二环一圈2小时17分，32.7公里，顺利完成🥇#骑行#北京·雍和宫#亲子骑行#北京,正面反馈
5177464449403253,Sat Jun 14 15:46:20 +0800 2025,轩轩带您畅游北京,**🌟北京5日经典游攻略 | 古今交融的帝都玩法**---### **📅 最佳季节**▪️ **春秋（4-5月、9-10月）**：气候宜人，适合户外游览▪️ **冬季（12-2月）**：人少，可体验故宫雪景，但较寒冷---### **🚇 交通建议**✔️ **地铁**：北京地铁覆盖广，推荐使用「亿通行」APP扫码 ...全文,咨询
5177221057876258,Fri Jun 13 23:39:11 +0800 2025,chenuo200012,北京的天空怎么允许有这样的东西在天上飞？chenuo200012的微博视频,其他
5177212491795955,Fri Jun 13 23:05:09 +0800 2025,夏thr,累到炸的一天。在上海来往北京的牛马列车上，一上车就开始过ppt，旁边坐着老外，又上来了三大波老外，一时分不清谁是老外。下车后马不停蹄（在暴晒下骑共享单车穿梭在拥堵的胡同）去见校领导，结果还是比人家晚到了，内心很愧疚；在喝茶的地方碰到了孙越；打了两个小时电话通知家长；查作业；备课…,其他
5177175521366435,Fri Jun 13 20:38:14 +0800 2025,吉祥太阳4,@北京12345您看看以下这些图片是今天6月13日周五18时左右，在朱辛庄地铁站A2出入口外的十字路口，大量乱停车堵在回昌东路南向北方向人行横道与非机动车道上的众多共享单车与电动车。虽每次属地相关部门回复均是好转与解决，但实际却是每天这钟点的乱停乱放堵路与游商堵路经营可一直没见有好转-真的管 ...全文,投诉
5177066786917132,Fri Jun 13 13:26:10 +0800 2025,小米fan粒粒,哈哈哈哈，帮丹麦大哥还小蓝车（他刚注册支fu宝第一天）被表扬了，外国人真给情绪价值啊，大哥说：你应该拍拍自己的肩膀告诉自己，你做的很棒，你是我在北京遇到的英语最好的人希望公司老板也能这样鼓励我,正面反馈
5177007201846090,Fri Jun 13 09:29:24 +0800 2025,Gzxbj,#您举报 我处理#这辆车有一半停在“车位”里，一半停在了非机动车道上，但这个车位是便道上的共享单车停车位，2025年6月13日早8:39，麦子店派出所对面，朝阳公园路南向非机动车道。@北京12345@北京交警Gzxbj的微博视频,举报
5176967306675996,Fri Jun 13 06:50:52 +0800 2025,吉祥太阳4,@北京12345您看看以下这些图片是6月12日18时左右，朱辛庄地铁站A2出入口外的十字路口。这些乱停车堵在回昌东路南向北方向人行横道与非机动车道上的众多共享单车与电动车，每天这钟点还是得有人来管管了吧！,投诉
5176864454740213,Fri Jun 13 00:02:10 +0800 2025,椰芒啵啵冰,🚴🏻♀️北京CityRide｜一条绝佳的临河骑行道🍂北京开始入秋了，要抓紧每年这1、2个月的“黄金户外时间”，各种city walk安排上。今年偶然发现这条户外骑行路线 河滨水慢行系统  初次骑行体验极佳，强烈推荐给各位朋友！🚲这条骑行道从立水桥到沙子营闸，单程10公里左右，我们从北岸3号 ...全文,正面反馈
5176864277794475,Fri Jun 13 00:01:28 +0800 2025,pa00pa丫丫,这是一个还可以的结局图1/2 出门散步今晚的月亮又好美好美 咔咔记录一下图3/4 遇到一直猫咪在我身边停下来 随后又陪我走了一公里多 我以为他饿了 着急是带他回家还是点个外卖送过来还是自己去超市买然后返回 纠结之下选择了第三图5/6 我一路跑呀跑一路默念一定要等我 终于找到一家无人超市返回找猫 ...全文,其他
