post_id,created_at,user_name,text,qwen_label
5133144045652786,Wed Feb 12 08:32:52 +0800 2025,庆哥评论,#马斯克炮轰美国国际开发署#看看是不是被收买了。庆哥评论的微博视频,其他
5129705804009025,Sun Feb 02 20:50:31 +0800 2025,吃菜的悟空,有没有北方人认证一下，这是真的吗脱口秀大会第4季 司机吃菜的悟空的微博视频,其他
5130730466449343,Wed Feb 05 16:42:10 +0800 2025,文li红,妈妈是我的第一位偶像。互联网开始的时候，她是我家里第一个拥有QQ的人，也是她给我注册的第一个账号，带着我聊天、偷菜……然后世界开始按下快进键，她又教会我使用网约车、带我坐飞机、坐高铁、看电影、淘宝购物……总之我觉得没有她我可能看不到互联网这么精彩的世界。小时候我真觉得她无所不 ...全文,正面反馈
5129955572454692,Mon Feb 03 13:23:01 +0800 2025,看看新闻KNEWS,#铁路春运返程启动#【多部门联动迎接抵沪大客流#上海预计年初七将达返程峰值#】春节长假进入后半程，2月2日，铁路春运返程高峰已经初现，抵沪客流已逼近单日60万人次，预计明后两天还将进一步攀升，在年初七达到峰值。对此，公安、地铁、铁路等多部门已形成联动沟通机制，将密切跟踪铁路到发客流，确 ...全文,其他
5127699008588271,Tue Jan 28 07:56:14 +0800 2025,一个小泉,落地福州长乐机场时，发现这个机场离大海很近，临时起意想去机场旁的海滩逛逛，叫了三辆网约车都嫌距离太近被拒载，于是全家人奋发图强靠着腿哥终于走到了海边！这个海不是很蓝，波涛汹涌气势磅礴，有点像嵊泗的大海，但是沙子很细腻，还有若干小螃蟹，大太阳下孩子光脚跑来跑去捡贝壳抓螃蟹很是 ...全文,其他
5095293484014587,Wed Oct 30 21:48:15 +0800 2024,琪车人_,智己也要搞“Robotaxi”？抢先体验智己L4级自动驾驶 这下可以闭眼直达迪士尼了！琪车人_的微博视频,正面反馈
5095168707920305,Wed Oct 30 13:32:26 +0800 2024,口味十分重,网友：上海一女子手机丢在网约车上，承诺给司机600元送还手机，司机跑五六十公里送回女子当面反悔“我如果不这样说你会给我送过来吗”……口味十分重的微博视频,投诉
5094025599914192,Sun Oct 27 09:50:08 +0800 2024,新京报,#网约车司机3条违章被处罚3600元#【#租车公司回应3条违章被处罚3600元#：营运车辆处理违章更严格，第三方代办成本较高】“3条交通违法扣1分、罚款300元，租车公司竟然要处罚我3600元。”武汉市民小高在汽车租赁公司租了一台车跑网约车，后因更换工作违约，遭对方强制收回车辆。事情过了近1年，他突然收 ...全文,投诉
5090156069260230,Wed Oct 16 17:34:00 +0800 2024,菏泽中院,#小菏说法#【#网约车乘客开门杀伤人谁担责#】#谨防开门杀#在因“开门杀”造成的事故中，如果造成事故的人是网约车的乘客，责任该由谁来担呢？在上海法院审理的一起交通事故责任纠纷案中，乘客、驾驶员、网约车平台、保险公司均被告上法庭。@菏泽中院CCTV法治在线的微博视频,咨询
5050953499410770,Sun Jun 30 13:16:58 +0800 2024,里奥爱加电,小鹏G6车险续保安全下车提车近一年，也该到了续保的时间。之前听说新能源车险涨价厉害，还听说有小鹏车主被拒保，相信不少鹏友也在担心涨价或拒保问题，下面分享下我的G6续保经历。去年7.29提车，上海提前55天左右报价，因此一到六月初就有保险联系了。基本情况如下：小鹏G6 580Pro版本公里数1 ...全文,其他
5050929569072960,Sun Jun 30 11:41:54 +0800 2024,裴仁超律师,上海律师#网约车司机强奸未成年乘客获刑3年#律师称女孩应当预见到风险性。【女孩打车欲前往广东，接单后因通话不畅而添加微信，司机遂约女孩到其住宿酒店吃烧烤，女孩到房间后吃喝至凌晨起身离开被拦】解读一下“预见”：一人前往陌生男子酒店房间应该预见到有风险，但不应该包括被发生关系， ...全文,其他
5048662405152842,Mon Jun 24 05:32:59 +0800 2024,YoukeeCRH,上海浦东-纽约肯尼迪直飞。上海这周日的国际出发客流非常凶猛，以至于我从机场内部的酒店到登机口花了两个多小时。。被发配到卫星厅，也有机会参观了一下高大上的卫星厅。MU587是走俄罗斯航路，所以航程只有14个小时。登机以后毫不意外地遭遇了航路管制导致出发延误45分钟。一路上服务很是贴心，特别 ...全文,其他
5107214064555392,Mon Dec 02 19:16:23 +0800 2024,1024专员,11月30日上海，遇到一家子奇葩乘客，一家五个人超载了，网约车司机不干！乘客：我给你两块钱，你坐六路车就到终点站，我自己开过去，你坐公交车到那里取车。1024专员的微博视频,投诉
5107179675977947,Mon Dec 02 16:59:44 +0800 2024,道哥日记,11月30日晚上，上海，网约车司机遇到一家子奇葩乘客，一家五个超载了，司机不干，乘客说我给你两块钱，你坐六路车就到终点站，我自己开过去，你坐公交车到那里取车。道哥日记的微博视频,投诉
5106769679092903,Sun Dec 01 13:50:33 +0800 2024,林哥观察,11月27日，上海。网约车司机抱怨社会的不公遭年轻乘客怒怼：你就不配当一个中国人！大家说说他们谁有道理？林哥观察的微博视频,其他
